City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto baquerizo moreno,-0.9,-89.6,299.7,74,75,4.12,EC,1696269152
1,wenchang,30.904,118.4887,293.07,80,98,1.56,CN,1696269152
2,adamstown,-25.066,-130.1015,293.41,73,22,10.89,PN,1696269142
3,ushuaia,-54.8,-68.3,280.94,45,0,4.12,AR,1696269070
4,port hedland,-20.3167,118.5667,294.18,94,8,2.06,AU,1696268854
5,jamestown,42.097,-79.2353,299.83,53,0,1.54,US,1696268973
6,linda,39.1277,-121.5508,296.25,55,0,1.54,US,1696269153
7,port lincoln,-34.7333,135.8667,286.29,72,57,5.61,AU,1696269153
8,shahpur,16.7,76.8333,297.19,78,96,3.54,IN,1696269153
9,niamey,13.5137,2.1098,304.31,51,20,2.06,NE,1696269116
10,ozernyy,55.5802,32.4127,284.15,72,80,1.6,RU,1696269153
11,edinburgh of the seven seas,-37.0676,-12.3116,282.74,55,83,11.7,SH,1696269145
12,port-aux-francais,-49.35,70.2167,274.61,61,100,14.51,TF,1696269153
13,vieux fort,13.7167,-60.95,304.04,80,75,7.2,LC,1696269153
14,geraldton,-28.7667,114.6,288.38,63,100,2.57,AU,1696269153
15,queenstown,-31.8976,26.8753,293.89,23,0,2.54,ZA,1696269153
16,port mathurin,-19.6833,63.4167,296.73,86,70,7.28,MU,1696269153
17,matao,-21.6033,-48.3658,303.4,49,66,2.9,BR,1696269153
18,rundu,-17.9333,19.7667,299.68,33,67,2.61,NA,1696269153
19,udachny,66.4167,112.4,267.29,85,13,2.55,RU,1696269153
20,poronaysk,49.2167,143.1167,283.87,90,100,6.75,RU,1696269153
21,bethel,41.3712,-73.414,298.5,62,40,1.54,US,1696268949
22,port saint john's,-31.6229,29.5448,291.83,75,0,7.93,ZA,1696269154
23,tiksi,71.6872,128.8694,270.44,80,100,4.67,RU,1696269142
24,yellowknife,62.456,-114.3525,280.6,100,75,2.06,CA,1696269149
25,antsiranana,-12.2787,49.2917,297.53,82,85,4.05,MG,1696269154
26,enewetak,11.3474,162.3373,302.12,78,98,6.8,MH,1696269154
27,ravar,31.2656,56.8055,297.27,16,0,1.26,IR,1696269154
28,kingston,17.997,-76.7936,308.28,59,20,2.06,JM,1696269154
29,grytviken,-54.2811,-36.5092,275.88,96,100,5.95,GS,1696269147
30,vorgashor,67.5833,63.95,276.51,92,100,7.84,RU,1696269154
31,bom jesus,-9.0744,-44.3586,315.58,11,22,1.42,BR,1696269154
32,hilo,19.7297,-155.09,298.49,89,20,3.09,US,1696269154
33,waitangi,-43.9535,-176.5597,283.61,87,99,3.13,NZ,1696269154
34,mil'kovo,55.6078,37.7956,285.42,58,83,3.25,RU,1696269154
35,fale old settlement,-9.3852,-171.2468,301.33,74,62,4.64,TK,1696269151
36,college,64.8569,-147.8028,274.51,92,100,3.09,US,1696269046
37,atafu village,-8.5421,-172.5159,301.2,74,19,0.83,TK,1696269154
38,polyarnyy,69.1989,33.4478,276.04,71,90,5.34,RU,1696269154
39,tralee,52.2704,-9.7026,288.29,82,40,3.6,IE,1696269154
40,vilyuchinsk,52.9306,158.4028,282.0,86,100,9.86,RU,1696269155
41,saipan,15.1355,145.701,301.54,89,40,3.6,MP,1696269138
42,ingeniero luis a. huergo,-39.0833,-67.2333,296.66,18,50,7.6,AR,1696269155
43,lompoc,34.6391,-120.4579,295.84,75,20,1.79,US,1696269155
44,punta arenas,-53.15,-70.9167,281.21,49,75,5.66,CL,1696268960
45,bocana de paiwas,12.7857,-85.1227,303.37,70,65,2.87,NI,1696269155
46,chongwe,-15.3292,28.682,298.47,40,0,4.98,ZM,1696269155
47,sil-li,39.4947,125.4736,288.23,69,100,1.79,KP,1696269155
48,longyearbyen,78.2186,15.6401,270.06,74,75,9.77,SJ,1696269155
49,tofol,5.3248,163.0078,301.51,72,22,0.46,FM,1696269155
50,albany,42.6001,-73.9662,298.11,49,15,1.34,US,1696268913
51,hadibu,12.65,54.0333,300.53,79,62,1.82,YE,1696269155
52,iqaluit,63.7506,-68.5145,279.0,65,75,5.14,CA,1696269144
53,thompson,55.7435,-97.8558,278.24,87,100,3.09,CA,1696269023
54,saldanha,-33.0117,17.9442,291.18,82,0,6.64,ZA,1696269155
55,arraial do cabo,-22.9661,-42.0278,296.07,83,75,3.09,BR,1696269155
56,santa elena de uairen,4.6167,-61.1333,304.27,28,83,3.59,VE,1696269155
57,tittmoning,48.0667,12.7667,292.32,88,45,0.61,DE,1696269155
58,alice springs,-23.7,133.8833,301.9,20,57,6.17,AU,1696269155
59,bredasdorp,-34.5322,20.0403,287.83,68,0,1.29,ZA,1696269156
60,susuman,62.7833,148.1667,271.47,82,11,1.34,RU,1696269156
61,whitehorse,60.7161,-135.0538,279.58,83,20,6.71,CA,1696269156
62,cabo san lucas,22.8909,-109.9124,306.76,52,4,3.13,MX,1696268952
63,ghanzi,-21.5667,21.7833,299.95,27,1,5.64,BW,1696269156
64,santiago,-33.4569,-70.6483,289.59,58,75,2.06,CL,1696269045
65,avarua,-21.2078,-159.775,294.18,78,75,5.14,CK,1696269156
66,margaret river,-33.95,115.0667,286.12,62,100,7.81,AU,1696269156
67,goure,13.9835,10.2704,300.37,46,100,5.36,NE,1696269156
68,peterhead,57.5058,-1.7981,286.73,76,100,6.43,GB,1696269156
69,mount isa,-20.7333,139.5,288.02,41,0,0.0,AU,1696269156
70,jabat,7.75,168.9751,301.26,78,35,2.48,MH,1696269156
71,mabaruma,8.2,-59.7833,310.13,37,98,2.98,GY,1696269156
72,kuanda,56.3161,116.0806,268.94,83,42,0.22,RU,1696269156
73,stanley,54.868,-1.6985,285.24,89,20,1.54,GB,1696269146
74,ketchikan,55.3422,-131.6461,285.41,87,100,4.12,US,1696269156
75,rauma,61.1272,21.5113,284.17,95,100,4.89,FI,1696269156
76,ola,59.5833,151.2833,279.49,79,34,4.28,RU,1696269156
77,namibe,-15.1961,12.1522,292.12,79,5,0.68,AO,1696269156
78,tidjikja,18.5564,-11.4271,310.8,11,43,2.55,MR,1696269157
79,kargasok,59.0556,80.8572,280.35,92,24,4.47,RU,1696269157
80,magadan,59.5667,150.8,279.16,77,14,3.13,RU,1696269157
81,doka,13.5167,35.7667,300.06,60,1,2.32,SD,1696269157
82,edeia,-17.3383,-49.9314,309.35,27,26,3.71,BR,1696269157
83,blackmans bay,-43.0167,147.3167,284.11,67,18,4.42,AU,1696269141
84,codrington,-38.2667,141.9667,287.5,91,80,6.76,AU,1696269157
85,uliastay,47.7417,96.8444,274.69,79,5,1.11,MN,1696269157
86,bubaque,11.2833,-15.8333,302.68,71,100,2.98,GW,1696269157
87,bilibino,68.0546,166.4372,264.79,98,99,1.14,RU,1696269146
88,ivnya,51.0629,36.1343,287.12,45,99,2.39,RU,1696269157
89,mundri,-6.9558,111.71,298.56,69,92,3.24,ID,1696269157
90,blackwater,-23.5833,148.8833,290.2,100,9,3.68,AU,1696269157
91,lampang,18.3333,99.5,298.86,85,47,0.37,TH,1696269157
92,wagar,16.1525,36.2032,309.35,14,0,2.79,SD,1696269157
93,al qusiyah,27.4402,30.8184,300.3,34,100,4.61,EG,1696269157
94,okhotsk,59.3833,143.3,279.33,77,23,3.44,RU,1696269157
95,tsiombe,-25.3,45.4833,292.12,58,98,5.43,MG,1696269158
96,qamdo,31.1667,97.2333,278.61,68,16,2.11,CN,1696269158
97,flying fish cove,-10.4217,105.6791,296.97,83,75,5.14,CX,1696269158
98,papatowai,-46.5619,169.4708,276.03,79,43,3.04,NZ,1696269158
99,lihue,21.9789,-159.3672,296.13,85,0,3.6,US,1696268907
100,gafsa,34.425,8.7842,301.27,36,20,3.09,TN,1696269158
101,isafjordur,66.0755,-23.124,277.17,70,75,6.17,IS,1696269158
102,abashiri,44.0213,144.2697,284.16,84,34,5.77,JP,1696269158
103,caraballeda,10.6112,-66.8522,309.47,49,54,0.71,VE,1696269158
104,san clemente del tuyu,-36.3569,-56.7235,287.03,72,43,3.67,AR,1696269158
105,nyurba,63.2842,118.3319,272.06,75,98,2.24,RU,1696269158
106,cariamanga,-4.3333,-79.55,298.58,44,41,3.3,EC,1696269158
107,port elizabeth,-33.918,25.5701,295.43,87,0,3.09,ZA,1696268984
108,cox's bazar,21.4532,91.9798,298.0,93,44,4.67,BD,1696269158
109,lorengau,-2.0226,147.2712,299.8,81,97,3.31,PG,1696269158
110,myory,55.6217,27.6299,284.1,77,98,3.04,BY,1696269158
111,callao,-12.0667,-77.15,294.31,73,75,3.09,PE,1696269158
112,port alfred,-33.5906,26.891,291.58,85,0,0.89,ZA,1696269158
113,selogiri,-7.7833,110.8667,295.71,88,81,1.97,ID,1696269159
114,saint-pierre,-21.3393,55.4781,296.97,73,100,1.03,RE,1696269159
115,guajara mirim,-10.7828,-65.3394,309.24,41,40,3.6,BR,1696268872
116,naze,28.3667,129.4833,298.66,79,83,9.27,JP,1696269159
117,ilulissat,69.2167,-51.1,272.16,59,0,2.57,GL,1696269159
118,paita,-5.0892,-81.1144,297.13,66,25,6.81,PE,1696269159
119,georgetown,5.4112,100.3354,301.45,84,20,1.54,MY,1696269146
120,tomatlan,19.9333,-105.25,305.49,63,84,1.72,MX,1696269159
121,constantia,44.1833,28.65,289.65,44,6,5.06,RO,1696269159
122,bemidji,47.4736,-94.8803,302.07,48,0,5.66,US,1696269159
123,zheleznogorsk-ilimskiy,56.5768,104.1217,275.02,58,100,3.58,RU,1696269159
124,newman,37.3138,-121.0208,295.96,49,4,1.79,US,1696269159
125,alvaraes,-3.2208,-64.8042,308.08,24,98,2.37,BR,1696269159
126,sao felix do xingu,-6.6447,-51.995,314.3,17,68,2.38,BR,1696269159
127,gadzhiyevo,69.2551,33.3362,275.8,71,93,5.71,RU,1696269159
128,ottappalam,10.7667,76.3833,297.62,97,46,1.04,IN,1696269159
129,trondheim,63.4305,10.3951,284.22,91,100,1.38,NO,1696269159
130,khovd,48.0056,91.6419,279.24,65,13,0.41,MN,1696269160
131,mahonda,-6.45,39.4667,298.95,82,55,7.79,TZ,1696269160
132,keflavik,64.0049,-22.5624,281.1,76,75,11.32,IS,1696269160
133,kampene,-3.6,26.6667,298.45,65,97,0.49,CD,1696269160
134,invercargill,-46.4,168.35,274.83,90,12,1.34,NZ,1696269043
135,bhuban,20.8833,85.8333,299.21,86,92,0.38,IN,1696269160
136,bel ombre,-4.6167,55.4167,301.06,78,20,7.2,SC,1696269160
137,nadym,65.5333,72.5167,283.26,86,100,7.94,RU,1696269160
138,vadso,70.0744,29.7487,275.64,80,75,3.6,NO,1696269160
139,las amilpas,16.3667,-94.6167,307.33,51,98,1.05,MX,1696269160
140,kavieng,-2.5744,150.7967,300.3,80,61,2.28,PG,1696269160
141,kulhudhuffushi,6.6221,73.07,300.1,83,98,7.48,MV,1696269160
142,la passe,45.5549,-0.8967,301.28,83,11,4.02,FR,1696269160
143,carnarvon,-24.8667,113.6333,290.34,62,0,11.55,AU,1696269160
144,aitape,-3.1374,142.3475,298.16,91,93,2.06,PG,1696269160
145,lodja,-3.4833,23.4333,297.36,73,87,0.69,CD,1696269160
146,kapuskasing,49.4169,-82.4331,297.2,69,75,6.69,CA,1696269160
147,long beach,33.767,-118.1892,295.75,70,0,1.79,US,1696268938
148,saynshand,44.8824,110.1163,283.73,51,3,5.87,MN,1696269161
149,calingasta,-31.3308,-69.4078,300.52,7,69,12.0,AR,1696269161
150,moroto,2.5345,34.6666,297.57,52,89,3.96,UG,1696269161
